label,sentence_name
You just want to roll it.,1NsGTF3dlIo_7-8-rgb_front
And now we're ready to make our volcano erupt.,49P4e1DLm6w_19-8-rgb_front
I've got a couple different types here.,0IEzAXxCjO4_6-5-rgb_front
"Forward, forward, forward, forward, forward.",5wuZyWxHXD0_9-8-rgb_front
And we're going to accent front and back.,5YMC8pMGeTA_11-8-rgb_front
You would do that for a little while.,-1fUFbij2s0_29-5-rgb_front
Confidence is a major benefit to your work.,0ACeI3_jN3k_11-8-rgb_front
This pressure washer's only about twelve hundred psi.,15bYoBr7BWs_30-8-rgb_front
We are going to flex the foot.,03xD5BhCG94_13-8-rgb_front
Then I allow him to go forward.,1TlNisOTK9Q_6-5-rgb_front
Let's take a look.,-8j9K3T5lkw_6-8-rgb_front
"Looks pretty nice, doesn't it?",aSbwWmqTOzc_3-8-rgb_front
A lot of people make that mistake.,atQrRCf_Xxw_9-8-rgb_front
And that is your standing twist.,1bA7XtuyoYY_10-8-rgb_front
Now this particular spot is a hot light.,1g93sGtZViI_13-8-rgb_front
I am using etching ink for my woodblocks.,1wa2jHu3Jj4_3-8-rgb_front
Sweep.,2oIjI5k0n44_13-5-rgb_front
Closing the ribcage.,0zzQqETJdi8_15-5-rgb_front
I like to do it like that.,1cZcma6WzEg_3-8-rgb_front
The golden rectangle comes from mathematics.,5_w9QWHoI1E_2-8-rgb_front
What's the first thing you're going to tell me?,1gycdY2pcYc_7-11-rgb_front
First there are chemicals.,a8QR93muFQ0_2-8-rgb_front
We have a certain background.,1UWz92TxRLA_6-5-rgb_front
Just go outward with every single limb.,1dLchY8R6tU_18-8-rgb_front
This particular mat cutter cuts on a forty five.,1h3mvQDZnBw_19-8-rgb_front
African Greys growl.,b4bK9WtPz4A_14-5-rgb_front
So that led to the malnourishment.,00Fc7cZX1gM_17-5-rgb_front
Plug it in and you're ready to go.,-9KqRMBAAsA_9-3-rgb_front
"It's a history, a living history, paper, paper, paper.",1NnjqlLI_6s_3-8-rgb_front
Our hands are up in our high guard position.,13yrKJ6yOPQ_9-8-rgb_front
Now this is a petunia variety called Wave.,-6PZkp-zC78_1-5-rgb_front
But you'll kind of see it come together.,22qgKXLM0j4_19-5-rgb_front
We want to keep our hands in the fist.,1f6MTI3qidQ_5-8-rgb_front
You can travel forward and back.,5T4P9SM0_ck_24-5-rgb_front
You need to go to graduate school.,asnjOLvpsoQ_4-8-rgb_front
And now we that button sewn on.,0C_NjyLtHwc_71-8-rgb_front
"What they are is capillary, venous and also arterial.",0x-kl7MK6fc_3-5-rgb_front
And that is good to go.,1r9BuA9JwsY_5-11-rgb_front
This is intermediate.,10d1oeViKYw_20-5-rgb_front
So this is the hand.,1qYHdB1eWQc_4-8-rgb_front
Hitting a roof or just falling outside.,0-n5YbN2IZA_13-5-rgb_front
Why do want to cheer?,220uYYSxz5U_14-5-rgb_front
And practicing that way.,0sYti1jhaww_12-8-rgb_front
We don't want any problems with those shoulder joints.,1Vxwre210Oc_6-5-rgb_front
That just looks gloomy.,BJIygZtYwXM_13-3-rgb_front
Another accessory here is the classic saddle bag.,1TsfCQyFt1A_10-5-rgb_front
It totally makes it impersonal.,1qMpH_7FL68_4-8-rgb_front
Usually you're going to start out with the cheer.,220uYYSxz5U_11-5-rgb_front
"Now, with the decoy route again.",bA53FmWDNPU_1-8-rgb_front
We would get this really long stuff off.,1_u_51a8M8o_8-8-rgb_front
Sponges are a real personal choice as well.,-Aiz9jYxt4g_4-8-rgb_front
One is forward and back motion.,aAJxGyiEEHU_2-5-rgb_front
Clean off my fingers.,03lzv6OzJhE_12-8-rgb_front
